Big Cabin, OK	36.5378651	-95.221358
Tomah, WI	43.978576	-90.5040214
Gila Bend, AZ	32.9476184	-112.7144993
Fort Smith, AR	35.3880338	-94.4265011
Columbia, NJ	40.9257935	-75.0941913
Mount Jackson, VA	38.7459482	-78.6422377
Jarrell, TX	30.8249094	-97.604454
Shorter, AL	32.3948615	-85.916902
Seymour, IN	38.9592201	-85.8902547
Council Bluffs, IA	41.258841	-95.8519484
Sterling, ND	46.813878	-100.2915
Montrose, CO	38.4781927	-107.876277
Laurel, DE	38.5565041	-75.5713141
New Castle, DE	39.6159851	-75.662956
Ellenton, FL	27.517143	-82.548708
Dumont, CO	39.7646887	-105.600337
Crawfordville, GA	33.5539938	-82.8961899
Bridgeport, MI	43.3594696	-83.8816364
Lupton, AZ	35.3539127	-109.053701
Eloy, AZ	32.7551703	-111.553493
Henderson, KY	37.76721	-87.5573742
Effingham, IL	39.0520902	-88.6029006
Atkinson, IL	41.4208678	-90.0151121
Daleville, IN	40.1211546	-85.5580301
Fort Wayne, IN	41.0799898	-85.1386015
Gothenburg, NE	40.9277324	-100.1619896
Jacksonville, FL	30.3262247	-81.6579179
Denham Springs, LA	30.4868564	-90.9562125
Lake Station, IN	41.5750369	-87.2389246
Hebron, IN	41.3186482	-87.2003091
Nacogdoches, TX	31.5970503	-94.5927451
Moorcroft, WY	44.263315	-104.950252
Latimer, IA	42.7635903	-93.3687645
Clear Lake, IA	43.1370751	-93.3813637
Stuart, IA	41.5033213	-94.3185737
West Memphis, AR	35.1464797	-90.1845388
Atwood, CO	40.5457265	-103.2798124
Salina, KS	38.8402805	-97.6114237
Highland, IN	38.0450618	-87.562929
Sardinia, OH	39.0078448	-83.8085377
Ocean Springs, MS	30.4112904	-88.8279165
Mount Vernon, KY	37.3529436	-84.3404195
Ocala, FL	29.1871986	-82.1400923
Port Allen, LA	30.45335	-91.2100569
Lake Village, IN	41.130062	-87.4388977
Duson, LA	30.2378751	-92.1801925
New Orleans, LA	29.9561422	-90.0733934
Hays, KS	38.8709984	-99.3311525
Grantsville, MD	39.6991282	-79.1577212
Great Falls, MT	47.5048851	-111.29189
Bridgman, MI	41.9430986	-86.5569659
Dodge City, KS	37.7527982	-100.0170787
Monroe, MI	41.9153358	-83.5135665
Carlisle, IN	38.9622119	-87.4028708
Taylorsville, IN	39.2958844	-85.9508264
Lawrence, KS	38.9719137	-95.2359403
Cherryvale, KS	37.270344	-95.5524788
Matfield Green, KS	38.1591843	-96.5605664
Springfield, MA	42.1018764	-72.5886727
Kansas City, KS	39.1134562	-94.626497
Ogallala, NE	41.1248328	-101.7189583
Willard, UT	41.4085496	-112.03819
Saint Johns, FL	29.9032284	-81.4145468
Portage, IN	41.5758708	-87.1761455
Binghamton, NY	42.098698	-75.9125187
Gansevoort, NY	43.1962051	-73.6513967
Hammond, IN	41.6173959	-87.5220108
Jacksonville, TX	31.963778	-95.2705042
Yuma, AZ	32.7254216	-114.6198088
Sunbury, OH	40.2425623	-82.8590673
Seville, OH	41.010077	-81.8622222
Hebron, OH	39.9617305	-82.4912676
Perrysburg, OH	41.5571178	-83.6279321
Oklahoma City, OK	35.4729886	-97.5170536
Choctaw, OK	34.0246234	-95.52055
